artist1,artist2,cosine similarity
red hot chili peppers,goldfrapp,0.004719002554723933
red hot chili peppers,jack johnson,0.03709924020592524
red hot chili peppers,the killers,0.020092608812764142
red hot chili peppers,arctic monkeys,0.027596897569461577
red hot chili peppers,bright eyes,0.0037466933234585375
red hot chili peppers,coldplay,0.04342950570099013
red hot chili peppers,björk,0.011353984354549524
red hot chili peppers,dido,0.009503263954626764
red hot chili peppers,audioslave,0.029016336554780163
red hot chili peppers,air,0.012123280860611802
red hot chili peppers,portishead,0.012437233431861542
red hot chili peppers,massive attack,0.01652291318202377
red hot chili peppers,arcade fire,0.002349382313159584
red hot chili peppers,m83,0.00139672121836853
red hot chili peppers,radiohead,0.02841619741893299
red hot chili peppers,justice,0.007369069305216005
red hot chili peppers,ac/dc,0.0236986942837012
red hot chili peppers,metallica,0.047772038933744355
red hot chili peppers,iron maiden,0.026606294390068928
red hot chili peppers,bob marley & the wailers,0.026296774109832274
red hot chili peppers,elton john,0.005209225751788225
red hot chili peppers,black eyed peas,0.012598061652268766
red hot chili peppers,nelly furtado,0.014711689907984913
red hot chili peppers,blink-182,0.02839220913610375
red hot chili peppers,placebo,0.02367506984782679
red hot chili peppers,no doubt,0.012703970867012134
red hot chili peppers,regina spektor,0.009906932327497156
red hot chili peppers,the beatles,0.03686752648491006
red hot chili peppers,nas,0.008698214463215644
red hot chili peppers,jay-z,0.006476533330323509
red hot chili peppers,dr. dre,0.006668952506598996
red hot chili peppers,kanye west,0.012332586191437506
red hot chili peppers,2pac,0.00979382165555903
red hot chili peppers,goo goo dolls,0.006931858377818587
red hot chili peppers,bryan adams,0.0077074104674385155
red hot chili peppers,the rolling stones,0.012148998448544649
red hot chili peppers,the velvet underground,0.003479398930951733
red hot chili peppers,fall out boy,0.013436439343641934
red hot chili peppers,norah jones,0.015820338779457942
red hot chili peppers,soundgarden,0.010669336790503694
red hot chili peppers,alice in chains,0.01878008990139994
red hot chili peppers,pink floyd,0.031216208696949216
red hot chili peppers,nine inch nails,0.01654996521214868
red hot chili peppers,pantera,0.01511902925442476
red hot chili peppers,david bowie,0.009091827980880332
red hot chili peppers,linkin park,0.040084709301889905
red hot chili peppers,limp bizkit,0.021078389586727107
red hot chili peppers,yeah yeah yeahs,0.0035591745755905214
red hot chili peppers,kaiser chiefs,0.01126052660332368
red hot chili peppers,muse,0.03443791595262287
red hot chili peppers,johnny cash,0.013784519946848515
red hot chili peppers,van morrison,0.0018011087075196798
red hot chili peppers,billy joel,0.005275697555414575
red hot chili peppers,eric clapton,0.011120308109093233
red hot chili peppers,dire straits,0.01566893649926611
red hot chili peppers,marvin gaye,0.003958661210360967
red hot chili peppers,james brown,0.009965943290831326
red hot chili peppers,gnarls barkley,0.012901064343790004
red hot chili peppers,daft punk,0.023385087015229088
red hot chili peppers,rammstein,0.028552019553136843
red hot chili peppers,moby,0.021851461791648583
red hot chili peppers,van halen,0.008470711049961282
red hot chili peppers,evanescence,0.014270339210745366
red hot chili peppers,queen,0.027462775769808195
red hot chili peppers,the flaming lips,0.00294228143243
red hot chili peppers,cat power,0.004725842567132657
red hot chili peppers,sonic youth,0.006656270768926145
red hot chili peppers,the kinks,0.0031595976524816357
red hot chili peppers,sublime,0.02817436246639337
red hot chili peppers,the doors,0.018860578080215167
red hot chili peppers,creedence clearwater revival,0.009744767387559404
red hot chili peppers,michael jackson,0.013605817107417281
red hot chili peppers,fleetwood mac,0.0033530490645903455
red hot chili peppers,[unknown],0.019714718139481717
red hot chili peppers,interpol,0.006104651823110022
red hot chili peppers,joy division,0.005383071627833228
red hot chili peppers,the cure,0.012822821647038275
red hot chili peppers,the cranberries,0.017253523711607086
red hot chili peppers,jamiroquai,0.037782652714167655
red hot chili peppers,avril lavigne,0.013259689906487536
red hot chili peppers,u2,0.030572497328036814
red hot chili peppers,bruce springsteen,0.006757184277707068
red hot chili peppers,frank sinatra,0.009131320004976153
red hot chili peppers,ramones,0.019360798466398817
red hot chili peppers,the clash,0.013322177449955369
red hot chili peppers,franz ferdinand,0.02285792337930163
red hot chili peppers,bob dylan,0.00909145570813928
red hot chili peppers,r.e.m.,0.020060038818755264
red hot chili peppers,new order,0.0023100615407667764
red hot chili peppers,neil young,0.006571604366633038
red hot chili peppers,the black keys,0.006948135914885984
red hot chili peppers,death cab for cutie,0.011254044575910584
red hot chili peppers,travis,0.010444196466925168
red hot chili peppers,the kooks,0.019360572878031803
red hot chili peppers,m.i.a.,0.005801165965321341
red hot chili peppers,the strokes,0.014933768402158919
red hot chili peppers,maroon 5,0.013484824905734005
red hot chili peppers,john legend,0.005253842796151052
red hot chili peppers,britney spears,0.005725508896444301
red hot chili peppers,christina aguilera,0.0050117253269278345
red hot chili peppers,feist,0.0058075175285714304
red hot chili peppers,garbage,0.009493936050588264
red hot chili peppers,bloc party,0.012991231811819983
red hot chili peppers,depeche mode,0.016377440651632016
red hot chili peppers,röyksopp,0.006661630580963982
red hot chili peppers,the prodigy,0.02665476401915407
red hot chili peppers,the offspring,0.048381512494576895
red hot chili peppers,marilyn manson,0.01734310358142667
red hot chili peppers,keane,0.006725452887663453
red hot chili peppers,iron & wine,0.003559829072163802
red hot chili peppers,fleet foxes,0.002730432888373687
red hot chili peppers,the smashing pumpkins,0.01760114517781724
red hot chili peppers,the shins,0.006217479272452211
red hot chili peppers,nirvana,0.043962382573790364
red hot chili peppers,john mayer,0.013005433345630733
red hot chili peppers,josé gonzález,0.007170323632946728
red hot chili peppers,lily allen,0.006627609813213011
red hot chili peppers,akon,0.004595462074133595
red hot chili peppers,katy perry,0.010433360838436857
red hot chili peppers,elvis presley,0.01034185835863117
red hot chili peppers,eminem,0.016700585672052595
red hot chili peppers,bullet for my valentine,0.013837483495485487
red hot chili peppers,disturbed,0.016965521608874847
red hot chili peppers,papa roach,0.011623700151051247
red hot chili peppers,simple plan,0.006805010078414646
red hot chili peppers,slipknot,0.0207681192658774
red hot chili peppers,kelly clarkson,0.0032256712589515306
red hot chili peppers,james blunt,0.01468789642513048
red hot chili peppers,adele,0.0034306695823662233
red hot chili peppers,the all-american rejects,0.007655065069667018
red hot chili peppers,three days grace,0.009305825656054258
red hot chili peppers,hoobastank,0.010576634146534864
red hot chili peppers,30 seconds to mars,0.008255134707044632
red hot chili peppers,good charlotte,0.011558606506184942
red hot chili peppers,mgmt,0.008406165345299069
red hot chili peppers,mariah carey,0.002492865655936669
red hot chili peppers,pixies,0.009125427036819846
red hot chili peppers,oasis,0.0192399967690279
red hot chili peppers,system of a down,0.061514914724830144
red hot chili peppers,sigur rós,0.010889069714623665
red hot chili peppers,outkast,0.01127239875731544
red hot chili peppers,elliott smith,0.005511040009613319
red hot chili peppers,louis armstrong,0.009560856136315264
red hot chili peppers,drake,0.0
red hot chili peppers,fatboy slim,0.016404171922974203
red hot chili peppers,blur,0.009348883494564364
red hot chili peppers,kasabian,0.00340028642532562
red hot chili peppers,amy winehouse,0.015649663068337358
red hot chili peppers,black sabbath,0.01135292504208184
red hot chili peppers,the jimi hendrix experience,0.01224439642802605
red hot chili peppers,the smiths,0.004371177491602522
red hot chili peppers,damien rice,0.008231695361750202
red hot chili peppers,band of horses,0.0033407401494562642
red hot chili peppers,my chemical romance,0.010769790395503792
red hot chili peppers,the chemical brothers,0.014188385798297171
red hot chili peppers,abba,0.007654259475584424
red hot chili peppers,tenacious d,0.028499782557834665
red hot chili peppers,sufjan stevens,0.004310611532350937
red hot chili peppers,a perfect circle,0.016648014359396123
red hot chili peppers,jason mraz,0.010618874195233231
red hot chili peppers,lady gaga,0.006040541581131848
red hot chili peppers,justin timberlake,0.011399017052450703
red hot chili peppers,gorillaz,0.025308060450140245
red hot chili peppers,lupe fiasco,0.004056093576022655
red hot chili peppers,guns n' roses,0.015345541874006316
red hot chili peppers,rise against,0.028985609299201184
red hot chili peppers,lil' wayne,0.00435902348884817
red hot chili peppers,the police,0.011429175693802406
red hot chili peppers,bob marley,0.03301227059304911
red hot chili peppers,pearl jam,0.02904825816338188
red hot chili peppers,nina simone,0.00550788590079202
red hot chili peppers,beck,0.015048293524041372
red hot chili peppers,paramore,0.011062619318874943
red hot chili peppers,wolfgang amadeus mozart,0.0037833101396864987
red hot chili peppers,cake,0.015651911421637993
red hot chili peppers,the white stripes,0.020378346418152594
red hot chili peppers,the national,0.003072359965999894
red hot chili peppers,queens of the stone age,0.02041062608284215
red hot chili peppers,rage against the machine,0.040924992656217664
red hot chili peppers,deep purple,0.010679701219513357
